查票时间,演出ID,票档名称,票价,状态,API响应,备注
2026-06-06 13:25:39,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:43,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:43,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:43,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:43,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:43,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:43,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:48,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:48,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:48,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:48,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:48,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:48,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:52,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:52,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:52,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:52,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:52,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:52,295821,280元票,280,售罄,无响应,
2026-06-06 13:25:56,295821,880元票,880,售罄,无响应,
2026-06-06 13:25:56,295821,780元票,780,售罄,无响应,
2026-06-06 13:25:56,295821,580元票,580,售罄,无响应,
2026-06-06 13:25:56,295821,480元票,480,售罄,无响应,
2026-06-06 13:25:56,295821,380元票,380,售罄,无响应,
2026-06-06 13:25:56,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:01,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:01,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:01,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:01,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:01,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:01,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:05,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:05,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:05,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:05,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:05,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:05,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:10,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:10,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:10,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:10,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:10,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:10,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:14,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:14,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:14,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:14,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:14,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:14,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:18,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:18,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:18,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:18,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:18,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:18,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:23,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:23,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:23,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:23,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:23,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:23,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:27,295821,880元票,880,售罄,无响应,
2026-06-06 13:26:27,295821,780元票,780,售罄,无响应,
2026-06-06 13:26:27,295821,580元票,580,售罄,无响应,
2026-06-06 13:26:27,295821,480元票,480,售罄,无响应,
2026-06-06 13:26:27,295821,380元票,380,售罄,无响应,
2026-06-06 13:26:27,295821,280元票,280,售罄,无响应,
2026-06-06 13:26:32,295821,880元票,880,售罄,无响应,
